X,Age,Job,Marital,Education,Default,Housing,Loan,Contact,Month,Day,Duration,Campaign,pDays,Previous,pOutcome,EmpVarRate,ConsPriceIdx,ConsConfIndx,Euribor3M,NREmployed,Subscribed
13589,46,admin.,divorced,university.degree,unknown,no,no,cellular,jul,thu,642,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
33847,28,services,single,high.school,no,yes,yes,cellular,may,wed,562,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
9324,44,technician,married,professional.course,unknown,yes,no,telephone,jun,fri,371,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
31695,38,technician,married,university.degree,no,unknown,unknown,cellular,may,thu,86,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
19886,34,technician,married,professional.course,no,yes,no,cellular,aug,fri,189,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
40255,31,admin.,married,university.degree,no,no,no,telephone,jul,mon,7,1,999,0,nonexistent,-1.7,94.215,-40.3,0.889,4991.6,no
503,33,admin.,married,basic.9y,no,unknown,unknown,telephone,may,tue,80,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
19242,44,unemployed,married,high.school,unknown,yes,no,cellular,aug,wed,209,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
4704,40,admin.,married,university.degree,unknown,yes,yes,telephone,may,wed,603,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
27332,40,technician,married,university.degree,no,no,no,cellular,nov,fri,52,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no
19371,31,technician,married,university.degree,no,yes,no,cellular,aug,wed,224,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
36104,38,technician,married,university.degree,no,yes,no,cellular,may,tue,118,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
914,46,admin.,married,professional.course,no,no,no,telephone,may,wed,69,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
4239,41,entrepreneur,single,university.degree,unknown,yes,no,telephone,may,tue,19,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
31450,36,management,single,university.degree,no,yes,yes,cellular,may,wed,147,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
26687,41,blue-collar,married,basic.4y,no,no,no,cellular,nov,thu,604,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
28076,51,technician,divorced,professional.course,no,yes,no,cellular,apr,fri,314,1,999,1,failure,-1.8,93.075,-47.1,1.479,5099.1,no
14958,26,admin.,single,university.degree,no,yes,no,telephone,jul,wed,30,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
28859,55,management,married,basic.4y,unknown,no,no,cellular,apr,thu,594,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
22694,36,admin.,divorced,high.school,no,no,yes,cellular,aug,fri,263,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
18791,25,student,single,high.school,no,no,no,cellular,jul,thu,85,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
31658,25,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,162,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
5967,31,technician,married,professional.course,no,no,no,telephone,may,tue,159,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
1712,39,admin.,married,high.school,no,no,no,telephone,may,fri,229,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
17594,43,unemployed,divorced,basic.9y,no,no,no,cellular,jul,mon,398,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
6350,24,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,112,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
1896,42,admin.,married,university.degree,no,no,no,telephone,may,fri,126,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
28192,22,student,single,high.school,no,no,no,cellular,apr,tue,194,2,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
32649,41,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,mon,12,8,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
21489,54,self-employed,married,high.school,no,no,no,cellular,aug,tue,119,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
13192,26,services,single,high.school,no,unknown,unknown,cellular,jul,wed,125,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
23135,38,technician,married,university.degree,no,yes,no,cellular,aug,tue,95,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
8962,40,admin.,single,unknown,unknown,no,no,telephone,jun,thu,563,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
7004,46,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,346,6,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
